City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
10,Kirakira,SB,79.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
13,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
26,Namibe,AO,77.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
28,Maumere,ID,77.88,overcast clouds,-8.6199,122.2111,Sylvia Hotel
32,San Patricio,US,87.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
35,Warwick,US,79.72,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
37,Itarema,BR,83.97,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
38,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Port Alfred,ZA,77.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
41,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
43,Ponta Do Sol,PT,77.72,scattered clouds,32.6667,-17.1,Hotel do Campo
44,Tan An,VN,84.22,overcast clouds,10.5333,106.4167,Mỹ Đình
45,Bubaque,GW,80.04,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
49,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
54,Faya,SA,82.51,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
55,Beba,CU,84.99,clear sky,22.4437,-79.7253,Hostal Cubaustria
57,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
58,Manawar,IN,88.54,broken clouds,22.2333,75.0833,Despojal
61,Mikhaylovka,RU,82.71,few clouds,50.06,43.2379,5 Komnat
62,Loubomo,CG,87.22,clear sky,-4.1997,12.6739,La Dolisienne
65,Sur,OM,86.95,clear sky,22.5667,59.5289,Sur Plaza Hotel
67,Luena,AO,80.78,clear sky,-11.7833,19.9167,Hotel Kandamba
69,Ascension,US,89.19,clear sky,30.2169,-90.9001,Highland Inn
71,Labuhan,ID,79.03,overcast clouds,-6.8844,112.2051,DoubleFAG
75,Mayskiy,RU,85.41,clear sky,47.6931,40.1025,Dio Lakrua
76,Ocho Rios,JM,83.8,overcast clouds,18.4025,-77.1048,Hibiscus Lodge
84,Port Said,EG,80.58,clear sky,31.2565,32.2841,Aracan Hotel
85,Upington,ZA,80.98,few clouds,-28.4478,21.2561,River Place Manor
86,Gardner,US,76.62,few clouds,42.5751,-71.9981,Super 8 by Wyndham Gardner
87,Mahibadhoo,MV,83.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
90,Bethel,US,79.47,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
92,Piacabucu,BR,82.35,few clouds,-10.4056,-36.4344,Piaçabuçu News
97,Le Mars,US,83.57,mist,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
98,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
100,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
101,Jacareacanga,BR,79.7,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
103,Mawlaik,MM,81.18,broken clouds,23.6333,94.4167,AKZ Guest House
108,Vanimo,PG,77.94,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
111,Carutapera,BR,83.88,few clouds,-1.195,-46.02,Lidera
115,Tutoia,BR,84.94,few clouds,-2.7619,-42.2744,Pousada Guará's
116,Hithadhoo,MV,83.86,broken clouds,-0.6,73.0833,Scoop Guest House
117,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
123,Cabo San Lucas,MX,85.6,few clouds,22.8909,-109.9124,Vista Roof Restaurant
126,Baculin,PH,78.64,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
128,Lata,PT,79.81,scattered clouds,40.1629,-8.3327,Casa Maquia
132,East London,ZA,83.34,clear sky,-33.0153,27.9116,Tu Casa
135,Muros,ES,89.1,few clouds,42.7762,-9.0603,Apartment Av. Castelao
139,Asau,RO,79.29,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
142,Lantawan,PH,80.29,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
146,Phan Thiet,VN,79.88,broken clouds,10.9333,108.1,Hotel Saigon-PT
147,Langsa,ID,76.21,few clouds,4.4683,97.9683,OYO 3328 Hotel Mori
148,Kavieng,PG,81.77,few clouds,-2.5744,150.7967,Nusa Island Retreat
150,Waingapu,ID,75.33,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
152,Camacari,BR,85.77,scattered clouds,-12.6975,-38.3242,Sítio Blasi
155,Mattru,SL,80.78,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
159,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
161,Luau,AO,82.26,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
162,Cayenne,GF,86.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
165,Kalmunai,LK,82.89,overcast clouds,7.4167,81.8167,VS Villa
167,Sao Miguel Do Araguaia,BR,89.42,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
171,Ugoofaaru,MV,83.26,few clouds,5.6667,73.0,Ungoofaaru Inn
172,Maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
174,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
176,Bambanglipuro,ID,76.95,moderate rain,-7.95,110.2833,Puri Brata
179,Junagadh,IN,86.14,few clouds,21.5167,70.4667,Click Hotel Junagadh
181,Isiolo,KE,80.33,broken clouds,0.3546,37.5822,Gaddisa Hotel
182,Powell,US,84.9,few clouds,40.1578,-83.0752,The Brig
183,Morant Bay,JM,87.42,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
191,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
192,Ambilobe,MG,76.28,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
197,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
198,Saint-Francois,FR,81.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
204,Shache,CN,85.86,overcast clouds,38.4167,77.2406,Delong Hotel
205,Sarankhola,BD,83.95,scattered clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
208,Palkonda,IN,89.28,scattered clouds,18.6,83.75,Ayyappa Shankar Residency
217,Mitsamiouli,KM,78.42,clear sky,-11.3847,43.2844,Foyer ADM
218,Pekalongan,ID,76.01,overcast clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
219,Hobyo,SO,80.38,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
222,Nirmal,IN,88.36,broken clouds,19.1,78.35,Hotel Mayuri
223,Sinnamary,GF,84.07,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
228,Samarai,PG,81.54,broken clouds,-10.6167,150.6667,Nuli Sapi
230,Fare,PF,79.56,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
237,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
242,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
244,Progreso,MX,87.12,broken clouds,21.2833,-89.6667,Playa Linda Hotel
