City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alofi,NU,-19.0595,-169.9187,71.49,100,40,2.3,scattered clouds
1,Limbang,MY,4.75,115.0,80.71,98,100,2.1,overcast clouds
2,Jamestown,US,42.097,-79.2353,72.05,58,39,3.0,scattered clouds
3,La Ronge,CA,55.1001,-105.2842,61.02,82,75,5.75,broken clouds
4,Geraldton,AU,-28.7667,114.6,57.61,82,75,5.75,broken clouds
5,Hilo,US,19.7297,-155.09,74.28,78,0,9.22,clear sky
6,Aguimes,ES,27.9054,-15.4461,74.66,64,20,25.32,few clouds
7,Busselton,AU,-33.65,115.3333,59.22,73,90,6.76,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,42.46,100,75,10.36,broken clouds
9,Yulara,AU,-25.2406,130.9889,57.04,36,1,3.58,clear sky
10,Kirakira,SB,-10.4544,161.9205,79.95,84,100,8.41,overcast clouds
11,Kapaa,US,22.0752,-159.319,74.12,98,100,12.66,moderate rain
12,Punta Arenas,CL,-53.15,-70.9167,44.71,81,0,16.11,clear sky
13,Atuona,PF,-9.8,-139.0333,77.5,70,68,19.22,light rain
14,Mahebourg,MU,-20.4081,57.7,73.69,68,40,14.97,scattered clouds
15,Fuxin,CN,42.0156,121.6589,62.29,89,99,6.04,overcast clouds
16,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,78,100,5.99,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,72.84,66,0,11.43,clear sky
18,Yellowknife,CA,62.456,-114.3525,61.32,72,20,4.61,few clouds
19,Castro,BR,-24.7911,-50.0119,56.91,53,0,5.19,clear sky
20,Albany,US,42.6001,-73.9662,76.3,68,61,1.01,broken clouds
21,Lensk,RU,60.7253,114.9278,52.77,73,9,2.8,clear sky
22,Avarua,CK,-21.2078,-159.775,73.45,78,92,3.44,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,58.1,94,100,14.97,heavy intensity rain
24,Junin,AR,-34.5838,-60.9433,61.2,35,36,14.52,scattered clouds
25,Vanino,RU,49.0869,140.2543,47.48,93,1,2.91,clear sky
26,Namibe,AO,-15.1961,12.1522,77.63,65,0,17.27,clear sky
27,Pisco,PE,-13.7,-76.2167,60.03,88,100,3.44,mist
28,Maumere,ID,-8.6199,122.2111,77.88,79,100,7.78,overcast clouds
29,Hobart,AU,-42.8794,147.3294,42.66,90,90,6.91,overcast clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,6.91,mist
31,Bredasdorp,ZA,-34.5322,20.0403,59.04,78,100,5.44,overcast clouds
32,San Patricio,US,28.017,-97.5169,87.69,38,63,17.56,broken clouds
33,Mataura,NZ,-46.1927,168.8643,47.48,93,98,12.71,light rain
34,Saint-Augustin,CA,51.226,-58.6502,61.72,56,83,8.19,broken clouds
35,Warwick,US,41.7001,-71.4162,79.72,76,75,5.75,broken clouds
36,Ahipara,NZ,-35.1667,173.1667,57.38,66,37,16.28,scattered clouds
37,Itarema,BR,-2.9248,-39.9167,83.97,67,11,12.26,few clouds
38,Butaritari,KI,3.0707,172.7902,81.45,71,66,11.68,broken clouds
39,Amapa,BR,1.0,-52.0,86.14,51,17,3.8,few clouds
40,Port Alfred,ZA,-33.5906,26.891,77.18,36,100,1.01,overcast clouds
41,Vaini,TO,-21.2,-175.2,75.36,100,20,3.44,few clouds
42,Khatanga,RU,71.9667,102.5,67.89,37,100,5.79,overcast clouds
43,Ponta Do Sol,PT,32.6667,-17.1,77.72,61,37,4.16,scattered clouds
44,Tan An,VN,10.5333,106.4167,84.22,87,96,6.24,overcast clouds
45,Bubaque,GW,11.2833,-15.8333,80.04,82,14,9.69,few clouds
46,Margate,GB,51.3813,1.3862,68.88,56,15,5.01,few clouds
47,Pevek,RU,69.7008,170.3133,31.35,80,54,0.83,broken clouds
48,Poum,NC,-20.2333,164.0167,74.08,89,100,13.67,overcast clouds
49,Nhulunbuy,AU,-12.2333,136.7667,75.81,78,67,9.22,broken clouds
50,Skjervoy,NO,70.0311,20.9714,48.2,82,70,6.87,broken clouds
51,Barrow,US,71.2906,-156.7887,30.22,93,0,10.36,clear sky
52,Paita,PE,-5.0892,-81.1144,67.37,73,31,10.11,scattered clouds
53,Udachnyy,RU,66.4167,112.4,66.45,39,9,6.06,clear sky
54,Faya,SA,18.3851,42.4509,82.51,32,34,9.28,scattered clouds
55,Beba,CU,22.4437,-79.7253,84.99,69,6,6.04,clear sky
56,Azul,AR,-36.777,-59.8585,57.92,42,89,12.15,overcast clouds
57,Puerto Escondido,MX,15.85,-97.0667,77.83,73,100,9.22,overcast clouds
58,Manawar,IN,22.2333,75.0833,88.54,55,58,11.99,broken clouds
59,Verkhnevilyuysk,RU,63.4453,120.3167,50.61,92,100,4.63,overcast clouds
60,Saint-Philippe,RE,-21.3585,55.7679,72.99,76,56,14.65,broken clouds
61,Mikhaylovka,RU,50.06,43.2379,82.71,45,20,6.8,few clouds
62,Loubomo,CG,-4.1997,12.6739,87.22,40,9,5.77,clear sky
63,Esperance,AU,-33.8667,121.9,59.88,82,88,24.05,light rain
